Area..sq.km.,Area_ha_mean,Area_ha_median,Area_ha_stddev
2084.7114,4.030275,1.3857,12.368005
2546.7556,4.030275,1.3857,12.368005
2084.7114,4.030275,1.3857,12.368005
2546.7556,4.030275,1.3857,12.368005
2084.7114,4.030275,1.3857,12.368005
2546.7556,4.030275,1.3857,12.368005
2084.7114,4.030275,1.3857,12.368005
2604.9316,3.323634,1.287555,11.817314
2604.9316,3.323634,1.287555,11.817314
3450.2943,4.001356,1.239644,15.612357
3450.2943,4.001356,1.239644,15.612357
3450.2943,4.001356,1.239644,15.612357
2620.2887,3.408284,1.276498,9.666791
2620.2887,3.408284,1.276498,9.666791
2620.2887,3.408284,1.276498,9.666791
2620.2887,3.408284,1.276498,9.666791
2620.2887,3.408284,1.276498,9.666791
2620.2887,3.408284,1.276498,9.666791
2620.2887,3.408284,1.276498,9.666791
2620.2887,3.408284,1.276498,9.666791
3799.9696,3.497646,1.338778,14.981867
3799.9696,3.497646,1.338778,14.981867
3799.9696,3.497646,1.338778,14.981867
3799.9696,3.497646,1.338778,14.981867
3799.9696,3.497646,1.338778,14.981867
3799.9696,3.497646,1.338778,14.981867
3799.9696,3.497646,1.338778,14.981867
,4.962517,1.425805,15.946556
1662.5178,4.962517,1.425805,15.946556
,4.962517,1.425805,15.946556
1662.5178,4.962517,1.425805,15.946556
,4.962517,1.425805,15.946556
1662.5178,4.962517,1.425805,15.946556
1662.5178,4.962517,1.425805,15.946556
1975.0766,3.100071,1.211107,8.284071
1975.0766,3.100071,1.211107,8.284071
1975.0766,3.100071,1.211107,8.284071
1975.0766,3.100071,1.211107,8.284071
1975.0766,3.100071,1.211107,8.284071
1975.0766,3.100071,1.211107,8.284071
1975.0766,3.100071,1.211107,8.284071
1991.0516,5.362283,1.483066,22.343253
,5.362283,1.483066,22.343253
1991.0516,5.362283,1.483066,22.343253
1991.0516,5.362283,1.483066,22.343253
1991.0516,5.362283,1.483066,22.343253
,5.362283,1.483066,22.343253
,5.362283,1.483066,22.343253
,5.362283,1.483066,22.343253
,5.362283,1.483066,22.343253
,5.362283,1.483066,22.343253
,5.362283,1.483066,22.343253
1740.5141,3.405505,1.204188,12.686313
1740.5141,3.405505,1.204188,12.686313
1740.5141,3.405505,1.204188,12.686313
1740.5141,3.405505,1.204188,12.686313
1740.5141,3.405505,1.204188,12.686313
1740.5141,3.405505,1.204188,12.686313
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
159.1851,5.414462,1.477258,24.661693
1325.1901,5.414462,1.477258,24.661693
159.1851,5.414462,1.477258,24.661693
1325.1901,5.414462,1.477258,24.661693
159.1851,5.414462,1.477258,24.661693
1325.1901,5.414462,1.477258,24.661693
159.1851,5.414462,1.477258,24.661693
1325.1901,5.414462,1.477258,24.661693
159.1851,5.414462,1.477258,24.661693
1325.1901,5.414462,1.477258,24.661693
6425.8321,8.650502,1.451518,39.534618
6425.8321,8.650502,1.451518,39.534618
6425.8321,8.650502,1.451518,39.534618
6425.8321,8.650502,1.451518,39.534618
6425.8321,8.650502,1.451518,39.534618
6425.8321,8.650502,1.451518,39.534618
6425.8321,8.650502,1.451518,39.534618
6425.8321,8.650502,1.451518,39.534618
6425.8321,8.650502,1.451518,39.534618
6425.8321,8.650502,1.451518,39.534618
6425.8321,8.650502,1.451518,39.534618
1262.1279,8.493213,1.552174,38.069429
885.285,8.493213,1.552174,38.069429
